FID,sampledate,station,stream,stream_notes,bioassessment_site,crewleader,crewmember,upstream_long,upstream_lat,downstream_long,downstream_lat,bankfull_active,widthcount,width1_m,width2_m,width3_m,width4_m,width5_m,avg_width_m,reachlen_m,trans_spacing_m,dom_landuse,wet_channel_pct,veg_pct,bedrock_pct,alluvium_pct,human_influ,human_influ_other,longslope_startingT,t1_distRC_m,t1_surveylvl_m,t1_waterdepth_m,t1_backsight_m,t2_surveylvl_m,t2_waterdepth_m,t2_backsight_m,t3_surveylvl_m,t3_waterdepth_m,t3_backsight_m,t4_surveylvl_m,t4_waterdepth_m,t4_backsight_m,t5_surveylvl_m,t5_waterdepth_m,t5_backsight_m,t6_surveylvl_m,t6_waterdepth_m,t6_backsight_m,t7_surveylvl_m,t7_waterdepth_m,t7_backsight_m,t8_surveylvl_m,t8_waterdepth_m,t8_backsight_m,t9_surveylvl_m,t9_waterdepth_m,t9_backsight_m,t10_distRC_m,t10_surveylvl_m,t10_waterdepth_m,t10_backsight_m,RC_depth_m,site_notes
19,9/28/2018 0:00,South_PL4_45111,San Juan Creek,"San Juan Creek above Ortega Hwy, 901SJOFIX",901SJOFIX,LLT,"CF, AJ",-117.426845,33.61624339,-117.42727,33.61643,bankfull,5,4.8,2.65,4.07,4.18,4.72,4.084,61.26,6.806666667,forest,0,15,50,35,roads,Hiking trails,t10,12.15,0.82,0,,,,,1.58,0,1.56,,,,1.765,0,,,,,2.095,0,,,,,3.36,0,,0,3.77,0,,, 
20,9/28/2018 0:00,South_UL1_43480,Santa Ana River,Santa Ana River,801SAR151,LLT,"CF, AJ",-117.3963358,33.98900171,-117.3974621,33.98756765,active,5,16.36,13.69,15.95,7.34,8.13,12.294,184.41,20.49,urban,75,20,0,5,"urbanization,roads",Many homeless encampments which restricted sampling areas,t1,0,0.89,0.21,,,,,1.03,0.23,,,,,1.16,0.29,1.155,,,,1.225,0.265,,,,,1.33,0.19,,2.83,1.16,0.24,,, 
21,11/17/2018 0:00,South_CL1_5523,Cuyama Creek,"Cuyama Creek, no bio pt",NA,"KTQ, LLT",CF,-120.1884562,35.03416852,-120.18829,35.03230945,bankfull,5,19.23,17.44,8,6.18,19.59,14.088,211.32,23.48,forest,0,5,5,90,"roads,grazing",Light grazing no signs of trampled banks but some cow pies,t10,3.04,1.008,0,,,,,1.97,0,2.01,,,,1.51,0,,,,,1.595,0,,,,,1.728,0,,0,1.96,0,,0.32,Gravel bed with fine sand silt clay. Stable India turned only disturbance is rd to r. Ruffle Pool run seq. Some incision located downstream of reach along bed. Started t10 upstream of that area and up of trib input. Excellent site for y2 survey UAV
22,11/16/2018 0:00,South_UL4_13094,Chumash ranch,"Chumash ranch, trib to Santa Ynez river, no bio pt",NA,"KTQ, LLT",CF,-120.0730363,34.61882324,-120.073033,34.6176601,bankfull,5,9.54,8.62,9.14,12.2,6.98,9.296,139.44,15.49333333,pasture,0,2,0,98,"grazing,roads,urbanization", ,t1,0,2.26,0,,,,,2.415,0,,,,,2.46,0,,,,,2.582,0,,,,,2.855,0,,0,2.996,0,,0.72,Incised channel that runs through Chumash ranch used for cow grazing. Heavily grazed low veg some grasses. Bank failure due to grazing and aggravation from bank slump. Some fluvial erosion around bend. Gravel bedded with sandy fine bank
23,11/16/2018 0:00,South_UL4_8605,Orcutt Creek,"Orcutt Creek, Santa Maria. No bio pt",NA,"KTQ, LLT",CF,-120.4325122,34.86355378,-120.4332667,34.86356987,bankfull,4,4.38,6.19,4.38,3.7,0,4.6625,69.9375,7.770833333,urban,0,5,0,95,"roads,urbanization",Some concrete rip rap on parts of banks,t10,0,0.475,0,,,,,0.73,0,,,,,1.036,0,,,,,1.119,0,,,,,1.245,0,,0,1.24,0,,0.44,"Urban rural site, creek goes through open lot and downstream of urban rural area. Some concrete rip rap on banks for stability but alluvial fine sand banks and bed. Some bank failure of blocks. All runs."
24,11/16/2018 0:00,South_UH4_9550,San Antonio Creek,"San Antonio creek, no bio pt",NA,"KTQ, LLT",CF,-120.3497677,34.75582443,-120.3509853,34.75589459,bankfull,5,6.05,6.12,6.9,9.2,9.35,7.524,112.86,12.54,agricultural,0,20,0,80,roads, ,t1,0,1.176,0,,,,,1.245,0,,,,,1.52,0,1.423,,,,1.475,0,1.371,,,,1.41,0,,0,1.47,0,,0.4,Ag site covered in stinging metal. Was limited in options for uh4 sites that weren’t channelized and concrete. Went about 15 m outside of reach bin in both upstream and downstream direction
25,11/15/2018 0:00,South_UH2_13647,Santa Ynez Creek,"Santa Ynez Ck, no bio pt",NA,"KTQ, LLT",CF,-120.186299,34.60650649,-120.1878229,34.60625341,bankfull,4,11.67,7.82,11.58,8.69,0,9.94,149.1,16.56666667,urban,0,15,0,85,"roads,urbanization", ,t1,0,0.958,0,,,,,1.255,0,1.146,,,,1.39,0,0.895,,,,1.275,0,1.424,,,,1.405,0,,0,1.16,0,,0.47,"Wide open wash, lots of room across valley floor. Gravel bedded stream with sand. Stable, little signs of erosion. Run and pool sequence"
26,11/15/2018 0:00,South_UH5_16446,Maria Ygnacio Creek,"Maria Ygnacio Creek, SMC30428", SMC30428,"KTQ, LLT",CF,-119.8033014,34.44721958,-119.8025341,34.44668698,bankfull,5,6.97,3.7,10.61,7.6,4.9,6.756,101.34,11.26,urban,0,5,0,95,"roads,urbanization", ,t10,5.45,0.38,0,,,,,1.987,0,,,,,1.616,0,,,,,1.65,0,,,,,1.7,0,,0,1.46,0,,0.37,"Cobble bedded stream, banks are fine sand and silt. Riffle run seq. Surrounded by urban development, some signs of incision and widening"
27,11/14/2018 0:00,South_UL2_16853,Misson Creek,"Mission Creek, SMC02420",SMC02420,"KTQ, LLT",CF,-119.7118781,34.44199385,-119.711942,34.440839,bankfull,4,7.79,8.29,8.27,8.36,0,8.1775,122.6625,13.62916667,urban,10,10,0,80,"roads,urbanization","Park/campground, one house on L bank terrace, parking lot",t1,0,2.215,0,,,,,3.75,0.06,0.968,,,,1.79,0,1.19,,,,2.645,0.22,,,,,2.81,0,,-3.68,2.995,0,,0.64,"Boulder, cobble bedded stream. Deeply inset channel which may be an artifact of being in a primarily urban area (flood control?). Stream runs through a park/camp ground with parking lot on r terrace and road and bridge downstream of the reach. Stable"
28,11/15/2018 0:00,South_UL5_16614,San Jose Creek,"San Jose Ck, SMC47496",SMC47496,"KTQ, LLT",CF,-119.8162548,34.44367322,-119.8171202,34.44348815,bankfull,5,11.07,4.26,5.86,6.34,4.53,6.412,96.18,10.68666667,urban,0,10,0,90,"roads,urbanization",One culvert/pipe draining into channel,t10,0,1.18,0,,,,,1.155,0,,,,,1.786,0,1.875,,,,1.684,0,,,,,1.395,0,,0,1.642,0,,0.41,"Cobble bedded stream with sand. Flatter runs sand dominated. Toes around bend at T6 and T5 are boulder rip rap. Some incision around bend.
One small culvert pipe draining into channel"
29,8/29/2018 0:00,South_CH2_28655,Malibu Creek,"Malibu Creek, 404S11406",404S11406,"KT, LT","CF, MR",-118.690304,34.050265,-118.68999,34.04941,bankfull,4,9.79,6.75,4.49,5.05,0,6.52,97.8,10.86666667,forest,65,20,0,15,roads,A highway located higher elevation on r bank,t1,0,1.29,0.385,,,,,1.535,0.595,1.66,,,,1.36,0.295,1.38,,,,1.29,0.51,1.926,,,,1.63,0,,0,1.56,0.75,,0.53,"No near riffle crest near T10. Thick veg made it difficult to estimate R terraces
"
30,8/24/2018 0:00,South_CH3_45125,Hot springs,"Hot springs, 901scca74",901SCCA74,"KT, LT",AJ,-117.5094064,33.61961398,-117.5092517,33.61883631,bankfull,4,8.05,6.75,6.33,3.7,0,6.2075,93.1125,10.34583333,forest,0,10,3,87, ,Some recreation but pretty undisturbed. Baptist church camp located downstream,t10,-1.8,0.935,0,,,,,1.08,0,1.5,,,,1.645,0,,0.97,0,1.945,1.3,0,,,,,1.595,0,,0,1.8,0,,0.58, 
31,8/27/2018 0:00,South_UL1_43409,Santa Ana River,"Santa Ana river, SMC",SMC10685,"KT, LT",AJ,-117.367397,34.01969794,-117.3678009,34.01898756,bankfull,5,8.4,6.8,5.4,6.75,6.2,6.71,100.65,11.18333333,urban,90,8,0,2,urbanization, ,t10,-0.73,1.34,0.3,,,,,1.13,0.35,1.465,,,,1.2,0.34,,,,,1.325,0.33,1.295,,,,1.725,0.61,1.741,0,1.44,0.32,,0.55, 
32,8/29/2018 0:00,South_PH4_29231,Los Flores Canyon Creek,"Los Flores canyon creek, 404SMB035",404SMB035,"KT, LT","CF, MR",-118.63738,34.03806,-118.63692,34.03748,bankfull,5,7.2,6.39,3.52,4.88,5.52,5.502,82.53,9.17,urban,0,15,5,80,"urbanization,roads","Some rip rap, confined by roads on both sides and homes",t10,-4.75,0.955,0,,,,,1.15,0,1.92,,,,1.41,0,1.31,,,,2.11,0,1.915,,,,2.48,0,,0,2.52,0,,0.44, 
33,8/24/2018 0:00,South_CL3_45211,Hot Springs Canyon Creek,"Hot springs canyon creek, 901S01705",901S01705,"KT, LT",AJ,-117.5093217,33.6046814,-117.5094192,33.60457414,bankfull,4,5.69,4.57,5.71,3.6,0,4.8925,73.3875,8.154166667,forest,0,3,10,87, ,"Some houses, recreational",t10,1.25,0.65,0,,,,,0.61,0,1.83,,,,0.9,0,,,,,1.7,0,,,,,1.705,0,,0,1.645,0,,0.69,Riffle pool step sequence. Convoy gravel bed with boulders. Stable. Some houses and human influence with concrete wall near bridge and near house (for valley meas t7)
34,8/23/2018 0:00,South_CH2_32968,San Gabriel river,"E fork San Gabriel, SMC",SMC05968,"KT, LT",JT,-117.80443,34.2342,-117.80563,34.23495,bankfull,5,10.49,12.98,7.95,6.74,5.87,8.806,132.09,14.67666667,forest,90,5,0,5,roads,"One road crossing 14 m from T1, some trash from recreation. Road crossing like local dam, small recreational dams",t1,0,1.13,0.19,,,,,1.215,0.25,1.66,,,,1.85,0.32,,1.355,0.19,1.885,1.38,0.16,,1.56,0.18,0,1.82,0.18,,-11.5,1.89,0.17,,0.82,"Riffle pool run sequence, some recreations small dams, road crossing 14 m upstream of t1
Some trash
Stable, cobble bedded channel"
35,8/31/2018 0:00,South_PL4_53199,Agua Hedionda,"Agua Hedionda, 904AHC003",904AHC003,KT,LT,-117.2932014,33.14953517,-117.2935745,33.14973378,bankfull,5,3.89,3.64,3.8,3.3,2.97,3.52,52.8,5.866666667,urban,5,93,0,2,"roads,urbanization","Riprap and bridge upstream ~75m. Sprinklers, confined by roads in trailer park",t10,0,3.8,0,,,,,3.6,0.59,,,,,2.55,0.245,,,,,2.4,0.55,,,,,2.55,0,,0,2.7,0,,0.17,"Confined by roads on both sides, trailer home. Small storm drains into this reach near upstream end. Heavily impacted by humans but stable and no signs of erosion."
36,8/31/2018 0:00,South_CL4_53173,Agua Hedionda,"Agua Hedionda Creek, SDC8",SDC8,KT,LT,-117.2402561,33.15406527,-117.2411807,33.15425257,bankfull,5,5.35,6.4,6.15,5.8,5.2,5.78,86.7,9.633333333,urban,0,5,0,95,"roads,urbanization",Recreation trails,t10,-2.7,2.7,0,,,,,1.98,0,,,,,2.71,0,2.1,,,,1.9,0,,,,,2.91,0,,0,3.21,0,,0.35,"Sandy bed with some gravel, some incision and undercutting under tree roots. CEM II, incision phase.  Some areas aggrafational with sand. Took soil sample from sandy bed near upstream end"
37,9/4/2018 0:00,South_PH3_53156,Buena Creek,"Buena Creek, SMC01049",SMC01049,"KT, LT", ,-117.2043361,33.17692008,-117.2044331,33.17660292,bankfull,4,3,3,2.44,3.79,0,3.0575,45.8625,5.095833333,urban,48,50,0,2,"roads,urbanization",Bridge crossing with culvert under about 100 m upstream of T1,t1,0,1.15,0.05,,,,,1.275,0.1129,,,,,1.29,0.08,,,,,1.355,0.085,,1.425,0.15,1.187,1.16,0.09,,0,1.095,0.04,,0.28,"Sandy silt bed and bank, very vegetated and stable. Hill slopes highly vegetated with ice plant on right s2 surface. Roads parallel to channel and potentially a road on the left side too."
38,9/4/2018 0:00,South_CH1_52922,San Elijo/Escondido Creek,"San Elijo/Escondido Creek, SDC6",SDC6,"KT, LT","CF, MR",-117.2039403,33.05383379,-117.2046344,33.05312996,bankfull,5,5.5,8.2,8.65,8.06,8.3,7.742,116.13,12.90333333,urban,70,10,10,10,urbanization,Unurbanized canyon but hilltops have urban development,t10,-3.4,1.11,0.24,,1.565,0.31,1.85,2.23,0.76,2.01,,,,1.88,0.41,,,,,1.69,0.44,1.9,,,,2.143,0.71,,1.4,1.683,0.4,,0.32,"Coarse sand bed, some boulders and bedrock towards upstream end. Riffle pool sequence. Looks stable"
39,9/5/2018 0:00,South_CL4_59606,Kitchen Valley Creek,"Kitchen Valley Creek, 911TJKTC5",911TJKTC5,"KT, LT",CF,-116.451637,32.75321441,-116.4517681,32.75292578,bankfull,5,2.75,3.1,1.19,2.47,1.54,2.21,33.15,3.683333333,forest,0,5,15,80,roads, ,t10,0,1.74,0,,,,,1.965,0,,,,,1.98,0,,,,,2.015,0,,,,,2.1,0,,0,2.185,0,,0.32, 
40,9/5/2018 0:00,South_CL5_59088,Pine Valley Creek,"Pine Valley Creek, 911TJPVC1",911TJPVC1,"KT, LT",CF,-116.5427629,32.83597563,-116.543173,32.83572118,bankfull,4,5.04,3.95,3.43,2.28,0,3.675,55.125,6.125,forest,0,0,0,0,grazing,"50 cows graze along the reach, grass and cow pies

Shifted T1 measurement about 1.4m downstream of wood jam. T1 landed on top of lwd jam, if went upstream would have been in depositions area",t10,-2.9,1.765,0.01,,1.085,0.03,2,1.265,0.095,1.181085,,,,1.72,0.17,1.41,,,,1.75,0.06,,,,,1.885,0.16,,0,1.79,0.1,,0.15, 
41,9/5/2018 0:00,South_CL3_58997,Noble Creek,"Noble Creek, 911NCPCR2",911NCPCR2,"KT, LT",CF,-116.5414568,32.83752322,-116.5089884,32.863678,bankfull,5,3.41,2,2.16,1.92,1.87,2.272,34.08,3.786666667,forest,0,1,29,70, ,Hiking/bike horse trail,t10,0,1.73,0,,,,,2.61,3.1,,,,,3.15,0,,,,,3.03,0,,,,,3.73,2.1,,-2.1,4.04,0,,0.45, 
42,9/6/2018 0:00,South_PL5_55061,Los Penasquitos Creek,"Los Penasquitos Creek, 906M21739",906M21739,"KT, LT",CF,-117.186006,32.92305983,-117.1861034,32.92235426,bankfull,5,3.9,5.4,8.34,7.84,4.34,5.964,89.46,9.94,urban,70,20,0,10,"urbanization,dams","Trails, fire road",t10,17.18,1.172,0.15,,,,,1.235,0.17,1.204,,,,1.57,0.24,1.35,,,,1.16,0.2,1.55,,,,1.447,0.275,1.38,0,1.285,0.1,,0.23,"Highly vegetated, little signs of erosion. Depositional silty sand bed 
Multichannel meandering"
43,9/7/2018 0:00,South_CH1_32561,San Gabriel river,W fork San Gabriel river,SMC00464,"KT, LT","AJ, CF",-117.8686501,34.24146594,-117.8669188,34.24144857,bankfull,5,9.53,12.1,10.75,13.61,11.41,11.48,172.2,19.13333333,forest,70,8,2,20,"roads,dams","Recreational dams, humans. Trash and road along the left upslope",t10,7.3,1.22,0.22,,1.65,0.495,1.43,0.666,0.24,1.598,,,,1.936,1,2.48,,,,1.38,0.45,,,,,2.015,0.1,,0,2.65,0.2,,0.6,"Primarily cobble boulder bed with coarse gravel sand deposited upstream of Rec dams
Looks stable, no signs of erosion. Reefs and stinging metal. Tadpoles and aquatic insects"
44,9/11/2018 0:00,South_PL5_26835,Arroyo Simi Creek,"Arroyo Simi, SMC06612", SMC06612,"KT, LT","CF, JT",-118.8537218,34.28729834,-118.8536906,34.28640806,bankfull,5,6.28,7.55,10.86,5.58,4.61,6.976,104.64,11.62666667,agricultural,82,15,0,3,"roads,urbanization,dams",Wastewater discharge and recreational horse trails,t10,2.75,1.174,0.25,,1.255,0.28,1.223,1.665,0.63,1.635,,,,1.44,0.39,,,,,1.481,0.21,1.28,,,,1.522,0.4,1.715,0,1.42,0.31,,0.6,"Gravel bedded stream. Wastewater discharge from upstream. 
Covered in arrundo!!! Very dense monoculture spread through portions of the reach"
